taz,sum,max,min,mean,std,25p,50p,75p
505,163.0,3.5,0.0,0.97,0.77,0.36,0.8,1.5
506,132.45,2.8,0.0,0.79,0.67,0.25,0.6,1.2
507,156.1,3.4,0.0,0.93,0.76,0.25,0.78,1.4
508,174.4,4.5,0.0,1.04,0.87,0.4,0.78,1.52
509,243.05,6.5,0.0,1.45,1.12,0.6,1.2,2.0
510,276.05,6.75,0.0,1.64,1.29,0.75,1.4,2.25
511,331.7,6.25,0.0,1.97,1.42,0.8,1.75,3.0
512,145.45,3.5,0.0,0.87,0.7,0.25,0.75,1.25
513,386.5,7.75,0.0,2.3,1.78,1.0,1.9,3.25
514,179.9,4.5,0.0,1.07,1.02,0.25,0.8,1.52
515,149.05,3.75,0.0,0.89,0.84,0.25,0.6,1.4
516,207.9,5.0,0.0,1.24,0.96,0.5,1.0,1.8
517,621.8,12.0,0.0,3.7,2.81,1.5,2.75,5.75
518,211.4,5.25,0.0,1.26,1.17,0.25,1.0,1.8
519,1793.2,72.4,0.0,10.67,12.99,4.19,7.75,11.64
520,1265.25,39.8,0.0,7.53,7.49,2.15,5.88,9.7
521,2209.25,119.5,0.2,13.15,14.68,3.19,10.78,17.75
522,816.25,21.0,0.0,4.86,3.95,1.5,4.25,6.75
523,177.95,4.25,0.0,1.06,0.94,0.25,0.8,1.75
524,79.35,3.5,0.0,0.47,0.55,0.0,0.25,0.75
525,209.0,5.75,0.0,1.24,1.18,0.4,1.0,1.75
526,239.85,5.5,0.0,1.43,1.13,0.5,1.23,2.0
527,454.8,8.75,0.0,2.71,1.89,1.15,2.4,3.85
528,138.35,3.5,0.0,0.82,0.78,0.24,0.6,1.25
529,561.65,12.75,0.0,3.34,2.67,1.2,2.75,5.0
530,433.55,9.25,0.0,2.58,2.03,1.0,2.1,3.65
531,224.1,5.5,0.0,1.33,1.22,0.4,1.0,2.0
532,334.85,7.0,0.0,1.99,1.55,0.75,1.68,2.75
533,1260.9,23.0,0.0,7.51,5.78,2.94,5.68,12.06
534,1271.35,59.75,0.0,7.57,8.34,2.75,5.38,10.06
535,721.15,14.75,0.0,4.29,2.94,2.0,4.0,5.8
536,1415.3,27.25,0.4,8.42,5.31,3.75,8.4,11.52
537,1739.4,34.75,0.0,10.35,7.96,4.15,9.8,14.29
538,2984.9,70.5,0.5,17.77,15.08,5.79,16.42,23.29
539,1213.55,17.0,1.0,7.22,3.76,4.25,6.62,10.25
540,1317.1,22.75,1.8,7.84,4.19,5.15,6.8,9.75
541,329.85,7.25,0.0,1.96,1.58,0.8,1.5,2.75
542,451.2,10.0,0.0,2.69,2.23,1.0,2.0,3.81
543,1606.5,25.0,0.0,9.56,6.52,3.15,9.5,14.05
544,666.7,13.2,0.0,3.97,2.89,1.25,4.25,5.43
545,475.15,10.0,0.0,2.83,2.31,1.0,2.25,4.5
546,453.0,8.8,0.0,2.7,2.16,1.0,2.22,3.81
